date,x,y,t
5/19/11 13:23,-80.018,29.494,5
5/19/11 13:23,-80.062,29.561,5
5/19/11 22:40,-80.28,29.494,5
5/20/11 0:21,-80.548,29.49,5
5/20/11 10:52,-80.677,29.337,5
5/20/11 11:35,-80.676,29.319,5
5/20/11 13:19,-80.721,29.31,5
5/20/11 14:56,-80.686,29.303,5
5/20/11 22:08,-80.813,29.232,5
5/21/11 2:02,-80.449,29.073,5
5/21/11 10:35,-80.255,28.978,5
5/21/11 11:21,-80.253,28.959,5
5/23/11 9:17,-79.625,29.644,5
5/23/11 11:26,-79.587,29.636,5
5/23/11 12:38,-79.596,29.638,5
5/23/11 13:07,-79.49,29.663,5
5/23/11 15:24,-79.669,29.743,5
5/24/11 10:58,-79.728,30.095,5
5/24/11 14:06,-79.44,29.946,5
5/24/11 18:35,-79.349,29.927,5
5/24/11 23:47,-79.248,29.905,5
5/25/11 0:36,-79.256,29.9,5
5/25/11 1:40,-79.244,29.893,5
5/25/11 7:14,-79.1,29.832,5
5/25/11 10:42,-79.03,29.806,5
5/25/11 12:19,-79.062,29.787,5
5/25/11 12:19,-79.12,29.807,5
5/25/11 16:23,-79.039,29.776,5
5/25/11 18:40,-78.99,29.753,5
5/26/11 10:11,-78.818,30.344,5
5/26/11 11:52,-78.573,29.503,5
5/26/11 12:08,-78.688,29.555,5
5/26/11 13:45,-78.514,29.444,5
5/26/11 18:31,-78.398,29.36,5
5/26/11 19:55,-78.379,29.342,5
5/27/11 6:59,-78.008,29.134,5
5/27/11 9:54,-78.11,29.209,5
5/27/11 13:36,-78.667,29.489,5
5/27/11 19:45,-78.699,29.483,5
5/28/11 8:13,-78.868,29.477,5
5/28/11 23:06,-78.578,29.334,5
5/29/11 0:44,-78.38,29.432,5
5/29/11 0:52,-78.38,29.432,5
5/29/11 10:46,-78.382,29.444,5
5/29/11 14:57,-78.324,29.606,5
5/29/11 17:53,-78.191,29.583,5
5/29/11 23:40,-78.159,29.627,5
5/30/11 0:34,-78.061,29.625,5
5/30/11 0:34,-78.07,29.621,5
5/30/11 2:12,-78.053,29.621,5
5/30/11 7:53,-78.145,29.566,5
5/30/11 10:15,-78.12,29.569,5
5/30/11 11:56,-78.115,29.573,5
5/30/11 19:14,-78.12,29.607,5
5/30/11 23:12,-78.111,29.61,5
5/31/11 9:51,-78.047,29.734,5
5/31/11 14:59,-78.112,29.723,5
5/31/11 21:02,-78.07,29.829,5
6/2/11 1:32,-78.036,30.092,6
6/2/11 1:47,-78.094,30.03,6
6/2/11 23:41,-78.121,29.845,6
6/3/11 19:53,-78.042,29.86,6
6/4/11 9:54,-78.102,29.614,6
6/4/11 16:17,-77.877,29.439,6
6/4/11 22:47,-77.775,29.345,6
6/5/11 0:40,-77.762,29.343,6
6/5/11 20:46,-77.601,29.204,6
6/5/11 22:31,-77.344,29.128,6
6/6/11 0:41,-77.212,29.078,6
6/6/11 3:08,-77.258,29.104,6
6/6/11 6:49,-77.108,29.079,6
6/6/11 8:24,-77.15,29.088,6
6/6/11 8:24,-77.162,29.091,6
6/6/11 9:06,-77.147,29.087,6
6/6/11 13:57,-77.113,29.081,6
6/6/11 15:26,-77.023,29.056,6
6/6/11 19:43,-76.949,29.053,6
6/6/11 19:55,-76.941,29.046,6
6/6/11 20:24,-76.89,29.038,6
6/7/11 0:31,-76.784,29.015,6
6/7/11 1:05,-76.857,29.025,6
6/7/11 6:37,-76.892,29.025,6
6/7/11 6:37,-76.654,28.835,6
6/7/11 8:08,-76.643,28.826,6
6/7/11 8:20,-76.644,28.826,6
6/7/11 10:23,-76.594,28.761,6
6/7/11 11:24,-76.593,28.743,6
6/7/11 13:01,-76.599,28.694,6
6/7/11 13:31,-76.581,28.695,6
6/7/11 13:55,-76.582,28.67,6
6/7/11 15:15,-76.538,28.649,6
6/7/11 23:27,-76.369,28.518,6
6/8/11 10:05,-76.034,28.27,6
6/9/11 0:45,-75.507,27.807,6
6/9/11 6:11,-75.493,27.544,6
6/9/11 13:14,-75.341,27.333,6
6/9/11 17:38,-75.64,27.225,6
6/9/11 22:26,-75.66,27.082,6
6/10/11 0:17,-76.005,27.135,6
6/10/11 7:47,-76.151,26.972,6
6/10/11 12:29,-76.668,26.976,6
6/10/11 12:51,-76.711,26.944,6
6/10/11 14:22,-76.784,26.914,6
6/10/11 22:03,-76.78,26.916,6
6/10/11 23:49,-76.882,26.815,6
6/11/11 19:58,-77.529,26.461,6
6/13/11 16:29,-77.989,26.911,6
6/13/11 16:50,-78.113,27.076,6
6/13/11 20:53,-77.994,27.166,6
6/13/11 23:06,-78.006,27.18,6
6/14/11 11:36,-78.091,27.29,6
6/14/11 16:02,-78.202,27.275,6
6/14/11 20:27,-77.991,27.581,6
6/14/11 22:10,-77.999,27.664,6
6/15/11 0:12,-78.172,27.938,6
6/15/11 21:50,-78.227,28.072,6
6/16/11 1:17,-78.234,28.113,6
6/16/11 1:27,-78.222,28.067,6
6/17/11 15:00,-78.649,28.359,6
6/17/11 15:00,-78.648,28.342,6
6/17/11 19:25,-78.633,28.373,6
6/18/11 17:44,-78.583,28.34,6
6/18/11 20:37,-78.554,28.586,6
6/19/11 20:08,-77.983,28.535,6
6/19/11 23:37,-77.947,28.521,6
6/20/11 5:53,-77.829,28.542,6
6/22/11 13:01,-76.161,28.73,6
6/22/11 15:06,-75.497,28.313,6
6/22/11 23:04,-75.65,27.732,6
6/23/11 0:40,-75.806,27.574,6
6/23/11 8:48,-75.912,27.26,6
6/23/11 20:04,-76.08,26.73,6
6/25/11 6:46,-75.664,27.785,6
6/26/11 8:14,-73.534,27.871,6
6/26/11 8:14,-73.582,27.884,6
6/26/11 20:34,-73.508,27.888,6
6/27/11 17:49,-72.795,28.401,6
6/27/11 17:49,-72.548,28.533,6
6/28/11 19:10,-72.171,28.743,6
6/29/11 1:14,-72.198,28.716,6
6/29/11 8:15,-72.066,28.811,6
6/29/11 21:08,-71.758,29.15,6
6/30/11 22:23,-71.262,29.557,6
7/1/11 10:48,-70.963,29.797,7
7/1/11 11:35,-71.011,29.755,7
7/1/11 15:09,-70.853,29.903,7
7/1/11 20:17,-70.701,29.987,7
7/2/11 8:38,-70.861,29.852,7
7/2/11 18:34,-70.639,30.028,7
7/3/11 16:14,-70.248,30.363,7
7/3/11 20:02,-70.63,29.968,7
7/3/11 21:17,-70.603,29.91,7
7/4/11 0:07,-70.533,29.869,7
7/4/11 0:19,-69.495,29.986,7
7/4/11 16:29,-69.477,30.038,7
7/4/11 16:29,-69.471,30.049,7
7/4/11 18:11,-69.349,30.086,7
7/4/11 18:11,-69.349,30.064,7
7/4/11 22:27,-69.292,30.076,7
